duke46,win
duke45,win
duke44,win
duke43,win
duke42,win
duke41,win
duke40,win
assassin24,win
captain41,win
captain40,win
captain43,win
captain42,win
captain45,lose
captain44,win
captain46,lose
contessa51,win
contessa50,win
contessa53,win
contessa52,win
contessa55,win
contessa54,win
contessa56,win
assassin56,lose
assassin54,win
assassin55,lose
assassin52,win
assassin53,win
assassin50,win
assassin51,win
duke32,win
duke33,win
duke30,win
duke31,win
duke36,win
duke34,win
duke35,win
captain52,win
captain53,win
captain50,win
captain51,win
captain56,win
captain54,win
captain55,win
contessa64,win
contessa65,win
contessa66,win
contessa60,win
contessa61,win
contessa62,win
contessa63,win
assassin45,lose
assassin44,win
assassin46,lose
assassin41,win
assassin40,win
assassin43,win
assassin42,win
duke21,win
duke20,win
duke23,win
duke22,win
duke25,win
duke24,win
duke26,win
captain66,win
captain65,win
captain64,win
captain63,win
captain62,win
captain61,win
captain60,win
assassin12,win
assassin13,win
assassin10,win
assassin11,win
assassin16,lose
assassin14,win
assassin15,lose
duke14,win
duke15,win
duke16,win
duke10,win
duke11,win
duke12,win
duke13,win
contessa06,win
contessa04,win
contessa05,win
contessa02,win
contessa03,win
contessa00,win
contessa01,win
assassin66,lose
assassin65,lose
assassin64,win
assassin63,win
assassin62,win
assassin61,win
assassin60,win
assassin01,win
assassin00,win
assassin03,win
assassin02,win
assassin05,lose
assassin04,win
assassin06,lose
duke03,win
duke02,win
duke01,win
duke00,win
duke06,lose
duke05,win
duke04,win
captain05,lose
captain04,lose
captain06,lose
captain01,lose
captain00,win
captain03,lose
captain02,lose
contessa15,win
contessa14,win
contessa16,win
contessa11,win
contessa10,win
contessa13,win
contessa12,win
assassin34,win
assassin35,lose
assassin36,lose
assassin30,win
assassin31,win
assassin32,win
contessa43,win
captain16,lose
contessa21,win
captain14,lose
captain15,lose
captain12,win
captain13,lose
captain10,win
captain11,win
captain23,lose
captain22,win
captain21,win
captain20,win
captain26,lose
captain25,lose
captain24,lose
contessa36,win
contessa35,win
contessa34,win
contessa33,win
contessa32,win
contessa31,win
contessa30,win
duke65,win
duke64,win
duke66,win
duke61,win
duke60,win
duke63,win
duke62,win
assassin33,win
contessa26,win
captain34,win
captain35,lose
captain36,lose
captain30,win
captain31,win
captain32,win
captain33,win
assassin22,win
duke50,win
duke51,win
duke52,win
duke53,win
duke54,win
duke55,win
duke56,win
contessa42,win
contessa20,win
contessa40,win
contessa41,win
contessa46,win
contessa44,win
contessa45,win
contessa22,win
contessa23,win
assassin23,win
contessa24,win
assassin21,win
assassin20,win
assassin26,lose
assassin25,lose
contessa25,win
